id,seed,iteration,stage,group,market,rel. loss0,rel. loss1,agent_0_prices,agent_1_prices,agent_platform_welfare,agent_consumer_welfare,agent_social_welfare,agent_0_installed_base,agent_1_installed_base,agent_0_demand,agent_1_demand,agent_outside_split,agent_platform0_split,agent_platform1_split,agent_0_retention,agent_1_retention,agent_55_tip_demand,agent_60_tip_demand,agent_70_tip_demand,agent_80_tip_demand,agent_55_tip_base,agent_60_tip_base,agent_70_tip_base,agent_80_tip_base
0_0,0,2000,0,0,all,0.005334735944274693,-0.004278232874008525,0.7559846043586731,0.7555416822433472,0.2557653784751892,0.7650617957115173,1.0208271741867065,0.5,0.5,0.5049999952316284,0.4950000047683716,0.0,0.5049999952316284,0.4950000047683716,,,,,,,,,,
0_0,0,2000,1,0,all,0.005334735944274693,-0.004278232874008525,0.7592473030090332,0.7561482787132263,0.25770604610443115,0.7631255388259888,1.02083158493042,0.5024999976158142,0.4975000023841858,0.5026666522026062,0.4973333179950714,0.0,0.5026666522026062,0.4973333179950714,0.9953795671463013,0.9999999403953552,0.66796875,0.39453125,0.078125,0.01953125,0.0,0.0,0.0,0.0
0_0,1,2000,0,0,all,0.0037840228569541168,-0.0011591316466152968,0.7526441812515259,0.753806471824646,0.2532249093055725,0.7676084041595459,1.0208332538604736,0.5,0.5,0.500333309173584,0.49966666102409363,0.0,0.500333309173584,0.49966666102409363,,,,,,,,,,
0_0,1,2000,1,0,all,0.0037840228569541168,-0.0011591316466152968,0.7556654810905457,0.7549071311950684,0.2552853226661682,0.7655476331710815,1.0208330154418945,0.500166654586792,0.499833345413208,0.4986666738986969,0.5013333559036255,0.0,0.4986666738986969,0.5013333559036255,0.9966689348220825,1.0,0.66015625,0.39453125,0.08203125,0.0234375,0.0,0.0,0.0,0.0
0_0,2,2000,0,0,all,0.00016322196150908574,0.0026337698046365876,0.746812641620636,0.7460751533508301,0.2464495450258255,0.7743691205978394,1.0208187103271484,0.5,0.5,0.5076666474342346,0.492333322763443,0.0,0.5076666474342346,0.492333322763443,,,,,,,,,,
0_0,2,2000,1,0,all,0.00016322196150908574,0.0026337698046365876,0.7498900890350342,0.7469172477722168,0.24841061234474182,0.7724214196205139,1.0208320617675781,0.5038332939147949,0.4961666464805603,0.5023333430290222,0.4976666569709778,0.0,0.5023333430290222,0.4976666569709778,0.9894944429397583,1.0,0.7109375,0.39453125,0.09375,0.02734375,0.0,0.0,0.0,0.0
0_0,3,2000,0,0,all,0.0014630913143701685,-0.0005782765215303076,0.7538432478904724,0.7546852231025696,0.2542622685432434,0.7665697336196899,1.0208320617675781,0.5,0.5,0.5023333430290222,0.4976666569709778,0.0,0.5023333430290222,0.4976666569709778,,,,,,,,,,
0_0,3,2000,1,0,all,0.0014630913143701685,-0.0005782765215303076,0.7566197514533997,0.7561795115470886,0.2563994526863098,0.7644338607788086,1.0208332538604736,0.5011667013168335,0.4988333284854889,0.49966666102409363,0.500333309173584,0.0,0.49966666102409363,0.500333309173584,0.9946914315223694,1.0,0.6875,0.390625,0.0859375,0.0234375,0.0,0.0,0.0,0.0
0_0,4,2000,0,0,all,0.0008732581345228807,0.002183151979166409,0.7416646480560303,0.7418256402015686,0.24174454808235168,0.7790854573249817,1.0208300352096558,0.5,0.5,0.5036666393280029,0.4963333308696747,0.0,0.5036666393280029,0.4963333308696747,,,,,,,,,,
0_0,4,2000,1,0,all,0.0008732581345228807,0.002183151979166409,0.7449558973312378,0.7424985766410828,0.2437247633934021,0.7771083116531372,1.0208330154418945,0.5018333196640015,0.49816668033599854,0.4989999830722809,0.5009999871253967,0.0,0.4989999830722809,0.5009999871253967,0.9907345771789551,1.0,0.71484375,0.43359375,0.1015625,0.02734375,0.0,0.0,0.0,0.0
